DimV_SK,violation,violdesc,violdttm,violstatus,statusdate,result,resultdttm,comments
100137,590.003/3-304.12-C,In-Use Utensils  Between-Use Storage (C),2019-12-17 12:25:34,Fail,,HE_Fail,2019-12-17 12:25:34,Scoop handles found submerge in ice in bar area.  remove
100138,590.003/3-304.13-C,Linens and Napkins  Use Limitations (C),2021-02-24 13:11:15,Fail,,HE_Filed,2021-02-24 13:11:15,Discontinue pre setting table aprons and cloth napkins in the back room -  set up as needed according to business hours of operation to reduce potential contamination
100139,590.003/3-304.14-C,Wiping Cloths  Use Limitation (C),2020-03-18 11:55:06,Fail,,HE_Fail,2020-03-18 11:55:06,provide wiping cloths in a solution between 200-400ppm/tested at 100ppm
100140,590.003/3-304.15-C,(B)-(D) Gloves  Use Limitations (C),2020-11-06 12:54:25,Fail,,HE_Fail,2020-11-06 12:54:25,Change gloves when they have been compromised  altered - change in between tasks - employee wearing gloves with a hole in them
100141,590.003/3-304.15-P,(A) Gloves  Use Limitation (P),2021-07-01 12:19:12,Fail,,HE_Fail,2021-07-01 12:19:12,Observed employee using gloved hands to place raw meats on grill and then use the same gloved hand to remove cooked meats.  Employees must be retrained in food safety and cross contamination Emploee removed gloves  washed his hands and put on new gloves.
100142,590.003/3-304.16-C,Using Clean Tableware for Second Portions and Refills (C),2019-09-16 14:51:21,Pass,2019-09-20 08:59:19,HE_Filed,2019-09-16 14:51:21,""
100143,590.003/3-305.11-C,Food Storage-Preventing Contamination from the Premises (C),2021-09-29 17:07:12,Fail,,HE_Fail,2021-09-29 17:07:12,Open bags of starches   condiments   half full paper bags discarded all over the rear storage room in the basement - keep all these inside a commercial grade food container with tight fitting lids to reduce potential contamination   increase intregity of
100144,590.003/3-305.12-C,Food Storage  Prohibited Areas (C),2021-03-25 13:51:38,Fail,,HE_Fail,2021-03-25 13:51:38,There are pipes in the basement dry storage area that appear to be sewer lines and there is food stored underneath.  Properly store food.
100145,590.003/3-305.13-C,Vended Time/Temperature Control for Safety Food  Original Container (C),2021-12-22 10:04:22,Fail,,HE_Fail,2021-12-22 10:04:22,Bags of rice noodle in basment not labeled. Provide proper label. Provide invoice and original package label from source Sun Hing noodle per on site PIC.
100146,590.003/3-305.14-C,Food Preparation (C),2019-11-22 17:32:36,Fail,,HE_Fail,2019-11-22 17:32:36,provide cover to all employee drinks
100147,590.003/3-306.11-P,Food Display-Preventing Contamination by Consumers (P),2020-02-14 10:55:30,Fail,,HE_Fail,2020-02-14 10:55:30,Container of raw eggs observed being stored directly  above open boxes of lemons and limes. Discontinue and store appropriately to ensure no contamination from raw eggs.
100148,590.003/3-306.12-C,Condiments  Protection (C),2019-12-16 08:56:34,Fail,,HE_Fail,2019-12-16 08:56:34,Open foods not stored in food grade covered container - Prep/storage areas
100149,590.003/3-306.13-P,(A) Consumer Self-Service Operations (P),2021-03-22 13:34:10,Fail,,HE_Fail,2021-03-22 13:34:10,Discontinue allowing customers to use the self service soda fountain until further notice has been provided from the current COVID-19 restrictions
100150,590.003/3-306.13-PF,(B) and (C) Consumer Self-Service Operations (Pf),2019-07-24 12:22:03,Fail,,HE_Fail,2019-07-24 12:22:03,register bulk candies/provide utensils only signage
100151,590.003/3-307.11-C,Miscellaneous Sources of Contamination (C),2021-11-02 11:47:41,Fail,,HE_Fail,2021-11-02 11:47:41,Mop sink with no door directly next to ice machine. Provide barrier.
100152,590.003/3-401.11-P,Raw Animal Foods-Cooking (P),2020-02-06 11:35:29,Fail,,HE_Fail,2020-02-06 11:35:29,Chicken sharwarma 152F. Cook until 165F. Measure final cooking temperatures with a probe bimetalic stem thermometer prior to slicing for service. Establishment using surface thermometer. Product removed from service until reaches 165F. COS.
100153,590.003/3-401.11-PF,Raw Animal Foods-Cooking (Pf),2020-10-27 13:12:51,Fail,,HE_Fail,2020-10-27 13:12:51,Salmon temped @ 120f  Fish tacos temped @ 133f  Ensure proper cooking temperature of minimum of 145f
100154,590.003/3-401.14-P,Non-Continuous Cooking of Raw Animal Foods (P),2021-04-02 14:40:41,Fail,,HE_Fail,2021-04-02 14:40:41,Per interview with PIC products are being cooked twice. They partially cook the first time and finish cooking prior to service. Review procedures for them to discontinue this practice without approvals
100155,590.003/3-401.14-PF,Non-Continuous Cooking of Raw Animal Foods (Pf),2020-01-13 08:25:27,Fail,,HE_Fail,2020-01-13 08:25:27,Chicken being partially cooked  cooled and then stored in the walk-in cooler until needed for service. Discontinue all non-continuous cooking processes and ensure chicken is being cooked thouroughly. Chicken was removed from service at the time of the in
100156,590.003/3-402.11-P,Parasite Destruction (P),2020-11-19 14:41:07,Fail,,HE_Fail,2020-11-19 14:41:07,Provide annual letter of parasite destruction
100157,590.003/3-402.12-PF,Records  Creation  & Retention (Pf),2019-07-15 14:51:48,Fail,,HE_Fail,2019-07-15 14:51:48,No logs maintained for the sushi rice. Maintain proper logs.      Lab test for sushi rice  more than 1 year old.. Provide current lab test.
100158,590.003/3-403.11-P,Reheating for Hot Holding (P),2020-01-07 11:26:59,Fail,,HE_Fail,2020-01-07 11:26:59,PIC will need to properly reheat foods to 165 before putting in hot holding unit. Found meatballs 128F. PIC will remove and reheat.
100159,590.003/3-404.11-PF,Treating Juice (Pf),2020-07-28 09:46:23,Fail,,HE_Fail,2020-07-28 09:46:23,"Fresh squeezed orange juice in front display case missing warning label & expiration date.Provide proper consumer advisory label stating""this is an unpastuerized item and an expiration date."
100160,590.003/3-501.11-C,Frozen Food (C),2019-10-24 11:01:26,Fail,,HE_Fail,2019-10-24 11:01:26,Several frozen bags of chicken not properly wrapped in the freezer - visible freezer burn- address
100161,590.003/3-501.12-C,Time/Temperature Control for Safety Food  Slacking (C),2021-02-22 15:16:40,Fail,,HE_Fail,2021-02-22 15:16:40,Lamb left out to thaw Remove Thaw properly under cooling running water or under  refrigeration.
100162,590.003/3-501.13-C,Thawing (C),2021-05-12 14:57:42,Fail,,HE_Fail,2021-05-12 14:57:42,Observed thawing meat in stagnant water and room temperature. Proper procedure is thawing under refrigeration or running water. PIC Corrected on site.
100163,590.003/3-501.14-P,Cooling (P),2019-11-22 17:32:36,Fail,,HE_Fail,2019-11-22 17:32:36,provide proper cooling methods for boiled chicken
100164,590.003/3-501.15-C,(B) Cooling Methods (C),2020-08-05 11:49:33,Fail,,HE_Fail,2020-08-05 11:49:33,sausage 65 degrees/cooling at room temperature/provide proper cooling methods
100165,590.003/3-501.15-PF,(A )Cooling Methods (Pf),2021-12-08 14:47:00,Fail,,HE_Fail,2021-12-08 14:47:00,Cooked chicken in the front service cooler with an elevated temperature of 72F. PIC stated that the chicken had just recently been cooked. Esnure proper cooling methods are in place prior to being placed out for service.
100166,590.003/3-501.16-P,(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding (P),2020-03-18 11:55:06,Fail,,HE_Fail,2020-03-18 11:55:06,potato salad 55 degrees/provide proper teemperature of 41 degrees or below
100167,590.003/3-501.16-P1,(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding (P),2021-09-22 15:47:31,Fail,,HE_Fail,2021-09-22 15:47:31,"Several foods in the middle cold holding unit on the cooking line ar 52F and above - the unit is missing the lids to keep it cold and it sounds like the compressor might be going as it is loud and not maintaing the proper temperatures to cold hold foods "
100168,590.003/3-501.17-PF,Ready-To-Eat Time/Temperature Control for Safety Food  Date Marking (Pf),2021-05-12 14:57:42,Fail,,HE_Fail,2021-05-12 14:57:42,Ready to eat foods: potato salads and desserts held over 24 hrs. Provide proper date marking for food products
100169,590.003/3-501.18-P,Ready-To-Eat Time/Temperature Control for Safety Food  Disposition (P),2020-11-05 19:30:19,Fail,,HE_Fail,2020-11-05 19:30:19,provide proper date marking for all ready to eat foods held over 24 hours
100170,590.003/3-502.11-PF,Variance Requirement (Pf),2019-10-22 18:32:50,Fail,,HE_Fail,2019-10-22 18:32:50,Observed establishment sous vide cooking pork. Discontinue and submit HACCP plan with variance application to the health division @ 1010 Massachusetts Avenue 4th floor health divsion. COS. Product voluntarily discarded.
100171,590.003/3-502.12-P,Reduced Oxygen Packaging  Criteria (P),2021-07-06 14:26:21,Fail,,HE_Fail,2021-07-06 14:26:21,"Multiple packages of sausages sealed in home-style reduced oxygen packaging with hand written name ""medium spicy"" in Thai  but otherwise without labels or clear identifing information. PIC is unsure of source. Sausages will be embargoed until PIC can pro"
100172,590.003/3-502.12-PF,Reduced Oxygen Packaging  Criteria (Pf),2020-10-01 11:29:59,Fail,,HE_Fail,2020-10-01 11:29:59,Establishment ROP packaging cooked pork and squid. Discontinue. Submit variance request to the health department.
100173,590.003/3-601.11-C,Standards of Identity (C),2020-10-09 13:25:02,Fail,,HE_Filed,2020-10-09 13:25:02,Commercially prepared desserts are out for retail sale stored in small individually packaged containers without proper labeling  removed and addressed immediatly
100174,590.003/3-601.12-C,Honestly Presented (C),2021-11-03 11:50:05,Pass,2021-11-03 15:19:35,HE_FailExt,2021-11-03 11:50:05,White tuna represented as escolar.
100175,590.003/3-602.11-C,Food Labels (C),2021-05-12 14:57:42,Fail,,HE_Fail,2021-05-12 14:57:42,"Observed dressing in container labeled ""garlic spread"". Provide proper labeling of product"
100176,590.003/3-602.11-PF,Food Labels (Pf),2020-12-03 13:36:27,Fail,,HE_Fail,2020-12-03 13:36:27,Packaged desserts out for retail sale do not have any kabels on them  to identify the actual product nor any ingredient labeling  address
100177,590.003/3-602.12-C,Other Forms of Information (C),2019-12-16 08:56:34,Fail,,HE_Fail,2019-12-16 08:56:34,Grab and Go desserts that are pre packaged for customer self service not labeled.
100178,590.003/3-603.11-PF,Consumption of Animal Foods that are Raw  Undercooked  or Not Otherwise Processed to Eliminate Pathogens (Pf),2020-11-04 20:35:23,Fail,,HE_Fail,2020-11-04 20:35:23,"Ensure proper disclosure / reminder is on all menu's   either it be paper or on-line"
100179,590.003/3-701.11-P,Discarding or Reconditioning Unsafe  Adulterated  or Contaminated Food (P),2019-08-02 12:13:16,Pass,2019-08-06 08:08:04,HE_Pass,2019-08-02 12:13:16,Sprinkler discharge in walk in freezer multiple items affected in freezer.PIC to contact health department to discuss condemnation with a supervisor.
100180,590.003/3-801.11-P,(A)  (B)  (C)  (E) and (G) Pasteurized Foods  Prohibited Re-Service  and Prohibited Food (P),2021-12-13 11:49:31,Fail,,HE_Fail,2021-12-13 11:49:31,Unpasteurized eggs in walk-in cooler. Staff stated that eggs are under cooked to order for poached eggs. Discontinue under cooking raw eggs for HSP consumers unless raw eggs are pasteurized.
100181,590.004/4-101.11-C,Characteristics-Materials for Construction and Repair (C),2021-03-30 15:45:08,Fail,,HE_Fail,2021-03-30 15:45:08,Remove mouldy caulking from 3 bay sink behind service counter and repair.
100182,590.004/4-101.11-P,Characteristics-Materials for Construction and Repair (P),2021-09-22 15:47:31,Fail,,HE_Fail,2021-09-22 15:47:31,Lids are missing on the cold holding sandwich units on the cooking line - they have been removes due to broken hinges and missing screws -need to either repair or replace as discussed
100183,590.004/4-101.12-C,Cast Iron  Use Limitations (C),2021-03-08 10:14:33,Pass,2021-03-09 06:54:35,HE_Filed,2021-03-08 10:14:33,Numerous cast iron serving pans noted with heavy rusting- Properly clean equipment to rusting
100184,590.004/4-101.14-P,Copper Use Limitation (P),2021-02-17 11:08:00,Fail,,HE_Fail,2021-02-17 11:08:00,Copper bands on wooden sushi rice bowl with evidence of oxidation from acidity of rice making contact with copper. Discontinue using.
100185,590.004/4-101.16-C,Sponges Use Limitation (C),2022-01-05 15:11:09,Fail,,HE_Fail,2022-01-05 15:11:09,Observed sponges used at the warewashing / prep stations. Discontinue the use of sponges
100186,590.004/4-101.17-C,Wood  Use Limitation (C),2020-12-03 13:36:27,Fail,,HE_Fail,2020-12-03 13:36:27,Remove splintered wooden cutting boards in the kitchen / prep room
100187,590.004/4-101.18-C,Nonstick Coatings  Use Limitation (C),2019-07-17 11:34:04,Fail,,HE_Fail,2019-07-17 11:34:04,""
100188,590.004/4-101.19-C,Nonfood-Contact Surfaces (C),2020-01-07 11:26:59,Fail,,HE_Fail,2020-01-07 11:26:59,Clean exterior of all cooking equipment and refirgeration equipment. Clean exterior of bulk food containers in kitchen area.  Clean shelves in cooking line.  Paint blue peeling paint on wall on cooking line.
100189,590.004/4-102.11-C,Characteristics-Single-Service and Single-Use (C),2020-11-04 12:04:57,Fail,,HE_Filed,2020-11-04 12:04:57,Discontinue having unwrapped ed stirrers out for self service by the front counter
100190,590.004/4-102.11-P,Characteristics-Single-Service and Single-Use (P),2022-01-13 14:10:30,Fail,,HE_Fail,2022-01-13 14:10:30,Discontinue the reuse of aluminum pans as they are only made for a one time single use - pans cannot be cleaned and sanitized properly
100191,590.004/4-201.11-C,Equipment and Utensils-Durability and Strength (C),2020-09-03 18:21:01,Fail,,HE_Fail,2020-09-03 18:21:01,Refrigeration unit at cookline with an internal temperature of 45-46F- Discontinued use at the time of the inspection
100192,590.004/4-201.12-P,Food Temperature Measuring Devices (P),2020-11-23 15:01:40,Fail,,HE_Fail,2020-11-23 15:01:40,No high temp irreversible  indicator for high temp dishwasher .Provide
100193,590.004/4-202.11-PF,Food-Contact Surfaces-Cleanability (Pf),2020-10-01 11:29:59,Fail,,HE_Fail,2020-10-01 11:29:59,Homemade dough proofer in basement shrouded with plastic and found with exposed wood surfaces and household fans. Use approved NSF grade equipment.
100194,590.004/4-202.12-C,CIP Equipment (C),2020-06-29 15:08:08,Fail,,HE_Fail,2020-06-29 15:08:08,Clean exterior/ interior of all refrigeration units  cooking equipment and exterior bulk food containers from all visible food spills stains and soils
100195,590.004/4-202.12-PF,CIP Equipment (Pf),2019-10-10 11:55:19,Fail,,HE_Fail,2019-10-10 11:55:19,Sushi case has been relocated and now has an exposed area in the back - the location is directly beside the rear entrance allowing staff  deliveries and  the outside elements to come into contact with the raw sushi  ensure a proper barrier is in place to
100196,590.004/4-202.13-C,"""V"" Threads  Use Limitation (C)",2021-07-29 11:37:05,Fail,,HE_Fail,2021-07-29 11:37:05,Clean shelves in basement area.  Remove ice build up from freezer.
100197,590.004/4-202.15-C,Can Openers (C),2021-08-05 13:47:29,Fail,,HE_Fail,2021-08-05 13:47:29,Blade on Can opener in Kitchen is rusted and worn- Replace Can opener blade- Discontinue use until the blade is replaced or a new opener is purchased.
100198,590.004/4-202.16-C,Nonfood-Contact Surfaces (C),2021-09-29 17:07:12,Fail,,HE_Fail,2021-09-29 17:07:12,Clean shelving units under all prep tables   exterior of all bulk food storage bins  cooking equipment on the line and all refrigeration and freezer units from visible food spins   stains and soils
100199,590.004/4-202.18-C,Ventilation Hood Systems  Filters (C),2020-11-04 20:35:23,Fail,,HE_Fail,2020-11-04 20:35:23,Clean vents in the hood system from visible soils and grease deposits
100200,590.004/4-203.11-PF,Temperature Measuring Devices  Food-Accuracy (Pf),2020-06-24 11:15:32,Fail,,HE_Fail,2020-06-24 11:15:32,provide metal stem cooks thermometer
100201,590.004/4-203.12-PF,Temperature Measuring Devices  Ambient Air and Water-Accuracy (Pf),2019-12-16 08:56:34,Fail,,HE_Fail,2019-12-16 08:56:34,Multiple refrigeration units without thermometers - Prep area
100202,590.004/4-203.13-C,Pressure Measuring Devices  Mechanical Warewashing Equipment (C),2021-06-01 12:41:18,Fail,,HE_Fail,2021-06-01 12:41:18,Low Temp Dish Machine at Bar out of order. Repair.  Main Dish Machine used at this time  until repairs are performed.
100203,590.004/4-204.11-C,Ventilation Hood Systems  Drip Prevention (C),2021-01-21 11:47:07,Fail,,HE_Fail,2021-01-21 11:47:07,Hood sticker expired on December 2020 . Provide professional cleaning.
100204,590.004/4-204.111-P,Vending Machines  Automatic Shutoff (P),2020-11-24 13:16:09,Fail,,HE_Fail,2020-11-24 13:16:09,""
100205,590.004/4-204.112-C,Temperature Measuring Devices-Functionality  (C),2020-03-18 11:55:06,Fail,,HE_Fail,2020-03-18 11:55:06,rear and front reach in units/provide internal thermometers
100206,590.004/4-204.112-PF,Temperature Measuring Devices-Functionality (Pf),2020-02-06 12:16:36,Fail,,HE_Fail,2020-02-06 12:16:36,There is no irreversible thermometer available to verify the temperature of the hig temp machine.  Provide.
100207,590.004/4-204.113-C,Warewashing Machine  Data Plate Operation Specifications (C),2019-12-12 12:20:45,Fail,,HE_Fail,2019-12-12 12:20:45,Provide temperature indicating immersion disc or temperature test strips for high temp dishwasher.
100208,590.004/4-204.115-PF,Warewashing Machines  Temperature Measuring Devices (Pf),2019-11-19 13:42:30,Fail,,HE_Fail,2019-11-19 13:42:30,Gauges in disrepair on dish machine. Repair/replace
100209,590.004/4-204.116-PF,Manual Warewashing Equipment  Heaters and Baskets (Pf),2019-08-14 13:10:37,Fail,,HE_Fail,2019-08-14 13:10:37,Three Bay Sink at lower level without drain plug for wash bay. Provide.
100210,590.004/4-204.117-PF,Warewashing Machines  Automatic Dispensing of Detergents and Sanitizers (Pf),2021-12-14 13:31:34,Fail,,HE_Fail,2021-12-14 13:31:34,Chlroine not present in low temp machine  repair to read 50-150ppm of Chlorine (3 Bay set up at time of inspection @ 200ppm of Quats OK. )
100211,590.004/4-204.118-C,Warewashing Machines  Flow Pressure Device (C),2021-06-14 12:08:45,Fail,,HE_Fail,2021-06-14 12:08:45,No sanitizer pumping into main dishwasher .PIC called for repair.  Use three compartment sink or other dishwasher until repair is completed.
100212,590.004/4-204.119-C,Warewashing Sinks and Drain boards  Self-Draining (C),2021-07-02 11:15:06,Fail,,HE_Fail,2021-07-02 11:15:06,Ensure there is a clean and ample space to properly air dry clean pots and pans
100213,590.004/4-204.12-C,Equipment Openings  Closures and Deflectors (C),2019-11-12 13:41:38,Fail,,HE_Fail,2019-11-12 13:41:38,Pizza Prep unit  50F  . Repair  Food moved in unit less than hour per PIC
100214,590.004/4-204.120-C,Equipment Compartments  Drainage (C),2019-09-18 12:29:28,Pass,2019-09-20 08:59:21,HE_Filed,2019-09-18 12:29:28,"Three bay snk  basins should be reversed so that the "" sanitizer basin"" is located beside the shelving  unit containing clean pots and pans to air dry"
100215,590.004/4-204.13-C,Dispensing Equipment  Protection of Equipment and Food (C),2021-09-29 17:07:12,Fail,,HE_Fail,2021-09-29 17:07:12,Relocate and or remove all the large pots  pans and utensils fbeing stored directly on the basement floor and under the stairway - store elevated in a clean   dry area away from potential contamination
100216,590.004/4-204.13-P,Dispensing Equipment  Protection of Equipment and Food (P),2019-08-08 13:44:44,Fail,,HE_Fail,2019-08-08 13:44:44,Bowls used as scoops in bulk food containers- Provide scoop with handle
100217,590.004/4-204.16-C,Beverage Tubing  Separation (C),2020-01-02 12:06:58,Fail,,HE_Fail,2020-01-02 12:06:58,The soda tubes ar running through customer ice.  Provide separation.
100218,590.004/4-204.17-C,Ice Units  Separation of Drains (C),2021-10-13 17:04:13,Fail,,HE_Fail,2021-10-13 17:04:13,Discontinue using the compromised non- commercial cooler to store clean ice in - need a commercial grade vessel that can self drain with a proper scoop with a handle to dispense ise properly
100219,590.004/4-204.19-C,Can Openers on Vending Machines (C),2020-09-15 14:47:29,Fail,,HE_Filed,2020-09-15 14:47:29,Can opener with rust. Clean to remove or replace.
100220,590.004/4-301.11-PF,Cooling  Heating  and Holding Capacities-Equipment (Pf),2020-09-25 12:47:12,Fail,,HE_Fail,2020-09-25 12:47:12,provide proper hot holding equipment to hold all back up of hot foods at 135 degrees or above
100221,590.004/4-301.12-C,Manual Warewashing  Sink Compartment Requirements (C),2020-10-05 11:10:18,Fail,,HE_Fail,2020-10-05 11:10:18,Label to properly identify each basin of the three bay sink as discussed   WASH -RINSE - SANITIZE                                                                             Ensure eah drain has an individual drain stopper / plug
100222,590.004/4-301.12-PF,Manual Warewashing  Sink Compartment Requirements (Pf),2021-02-18 11:59:55,Fail,,HE_Fail,2021-02-18 11:59:55,PIC will need to review with staff and monitor them for warewashing or even rinsing pots in prep sink in. Staff will need to three bay or high temperature dishwasher.
100223,590.004/4-301.13-C,Drain boards (C),2019-11-20 10:43:32,Fail,,HE_Fail,2019-11-20 10:43:32,Soiles cookwear stacked on floor and with can good. Provide cart or designated area for soil wares.
100224,590.004/4-301.14-C,Ventilation Hood Systems  Adequacy (C),2020-10-09 13:25:02,Fail,,HE_Filed,2020-10-09 13:25:02,Hoor sticker has expired - owner has scheduled a professional cleaning for tomorrow - emailed confirmed from the company
100225,590.004/4-301.15-C,Clothes Washers and Dryers (C),2019-10-15 18:26:09,Fail,,HE_Fail,2019-10-15 18:26:09,Personal laundry being done in a commercial facility  discontinue
100226,590.004/4-302.12-PF,Food Temperature Measuring Devices (Pf),2021-09-22 15:47:31,Fail,,HE_Fail,2021-09-22 15:47:31,Missing food thermometers - replace
100227,590.004/4-302.13-PF,Temperature Measuring Devices  Manual and Mechanical Warewashing (Pf),2019-12-17 12:25:34,Fail,,HE_Fail,2019-12-17 12:25:34,No irreversible indicator for high temp dishwasher .
100228,590.004/4-302.14-PF,Sanitizing Solutions  Testing Devices (Pf),2020-08-05 11:49:33,Fail,,HE_Fail,2020-08-05 11:49:33,3 bay sink/provide proper test kit
100229,590.004/4-303.11-PF,Cleaning Agents and Sanitizers  Availability (Pf),2021-09-20 22:59:01,Fail,,HE_Fail,2021-09-20 22:59:01,Observed sanitizer at 3 bay sink empty. Provide and maintain sanitizer for warewashing at all times.
100230,590.004/4-401.11-C,(C) Equipment  Cloths Washers and Dryers  and Storage Cabinets  Contamination Prevention (C),2019-09-06 11:14:18,Fail,,HE_Fail,2019-09-06 11:14:18,No designated area for soiled aprons  wiping cloths  Address
100231,590.004/4-401.11-C1,Equipment  Clothes Washers  Dryers and Storage Cabinets  Contamination Prevention Location (C),2020-01-16 12:31:58,Fail,,HE_Filed,2020-01-16 12:31:58,Relocate shelving unit containing clean pots  pans and utensils that is attached to the wall directly in front of the mop sink
100232,590.004/4-402.11-C,Fixed Equipment  Spacing or Sealing-Installation (C),2020-10-28 14:26:08,Fail,,HE_Fail,2020-10-28 14:26:08,Too many people working in a very small compact area  relocate shelving and / or equipment as discussed  during this current COVID-19 crisis
100233,590.004/4-402.12-C,Fixed Equipment  Elevation or Sealing (C),2021-11-04 13:20:18,Fail,,HE_Fail,2021-11-04 13:20:18,Compromised rubber gaskets in several refrigeration units in the kitchen - address
100234,590.004/4-501.11-C,Good Repair and Proper Adjustment-Equipment (C),2019-12-12 12:20:45,Fail,,HE_Fail,2019-12-12 12:20:45,Warewash- repair faucet to handsink.
100235,590.004/4-501.110-PF,Mechanical Warewashing Equipment  Wash Solution Temperature (Pf),2019-07-22 13:20:17,Pass,2019-07-22 15:48:16,HE_Pass,2019-07-22 13:20:17,High Temp Dish Machine out of order  not working at all. Repair to warewash properly.
100236,590.004/4-501.111-P,Manual Warewashing Equipment  Hot Water Sanitization Temperatures (P),2019-12-03 14:20:51,Fail,,HE_Fail,2019-12-03 14:20:51,There is no sanitizer reading at the low temp dishwasher.  Provide proper sanitizer levels.  (They will sanitize the glasses in the three bay sink)
100237,590.004/4-501.112-PF,Mechanical Warewashing Equipment  Hot Water Sanitization Temperatures (Pf),2021-01-21 11:47:07,Fail,,HE_Fail,2021-01-21 11:47:07,High temp dishwasher unable to reach 180For above dishwasher rinse 149F  disk reads 149F. Repair dishwasher PIC ordered parts. Use Three compartment sink for all warewashing until repair is completed.
100238,590.004/4-501.113-C,Mechanical Warewashing Equipment  Sanitization Pressure (C),2019-09-17 11:00:13,Fail,,HE_Fail,2019-09-17 11:00:13,Low temp dish machine 0PPM - All ware washing will be performed in 3 bay sink with chlorine sanitizer (at time of inspection chlorine in 3 bay sink was at 100PPM) PIC also contacted the owner to contact the dish machine company
100239,590.004/4-501.114-P,Manual and Mechanical Warewashing Equipment  Chemical Sanitization-Temperature  pH  Concentration and Hardness (P),2021-12-03 14:42:55,Fail,,HE_Fail,2021-12-03 14:42:55,No sanitizer at 3 compartment sink. Bottle was empty. Replaced by PIC. Monitor chemicals to ensure they are avilable at all times.
100240,590.004/4-501.114-PF,Manual and Mechanical Warewashing Equipment  Chemical Sanitization-Temperature  pH  Concentration and Hardness (Pf),2019-12-17 12:03:20,Fail,,HE_Fail,2019-12-17 12:03:20,Three Bay Sink- Chlorine sanitizer registering much lower than 50ppm  and filled not properly (2/3 of equipment surfaces for sanitizing out).  Provide proper sanitizing solution  and performe proper warewashing all the time.
100241,590.004/4-501.115-C,Manual Warewashing Equipment  Chemical Sanitization Using Detergent-Sanitizers (C),2021-11-08 12:57:24,Fail,,HE_Fail,2021-11-08 12:57:24,No evidence of proper warewashing. Three bay sink not set up  and all three bays filled with soiled dishes. Some of the trays placed for air drying soiled to touch and sight. Perform proper warewashing all the time (wash  rinse  sanitize).
100242,590.004/4-501.116-PF,Warewashing Equipment  Determining Chemical Sanitizer Concentration (Pf),2020-10-06 13:47:17,Fail,,HE_Fail,2020-10-06 13:47:17,Chlorine reading to high at 300ppm.
100243,590.004/4-501.12-C,Cutting Surfaces (C),2020-11-04 20:35:23,Fail,,HE_Fail,2020-11-04 20:35:23,Clean cutting boards on the cooking line from visible soils and lacerations
100244,590.004/4-501.13-C,Microwave Ovens (C),2019-08-23 14:48:38,Fail,,HE_Fail,2019-08-23 14:48:38,Clean inside the microwave from food splashes
100245,590.004/4-501.14-C,Warewashing Equipment  Cleaning Frequency (C),2020-07-07 15:27:23,Fail,,HE_Fail,2020-07-07 15:27:23,Clean interior of dishmachine to remove food soil
100246,590.004/4-501.15-C,Warewashing Machines  Manufacturers’ Operating Instructions (C),2021-03-12 10:29:39,Fail,,HE_Fail,2021-03-12 10:29:39,Dish machine does not have detergent or sanitizer hooked up to it. Provide fully operational warewashing faciities per code requirements and manufacturers instructions.
100247,590.004/4-501.16-C,Warewashing Sinks  Use Limitation (C),2020-02-14 11:42:57,Fail,,HE_Fail,2020-02-14 11:42:57,Case of brussel sprout found in wash bay of three bay sink.  Discontinue . Use Prep sink only for fruit and vegetable.
100248,590.004/4-501.17-PF,Warewashing Equipment  Cleaning Agents (Pf),2021-03-03 14:24:42,Fail,,HE_Fail,2021-03-03 14:24:42,No detergent water in three bay sink. Setup properly to Wash/rinse/sanitize
100249,590.004/4-501.18-C,Warewashing Equipment  Clean Solutions (C),2021-07-01 12:19:12,Fail,,HE_Fail,2021-07-01 12:19:12,Sanitizer solution set up in 3 bay sink with heavy food debris- Equipment must be properly rinsed prior to warewashing
100250,590.004/4-501.19-PF,Manual Warewashing Equipment  Wash Solution Temperature (Pf),2022-02-07 15:02:57,Fail,,HE_Fail,2022-02-07 15:02:57,No evidence of proper washing taking place. Wash bay only 1/3 filled with large amount of soiled dishes over the water line. Rinse bay not set up  and with food debris. Provide proper washing.
100251,590.004/4-502.11-C,(A) and (C) Good Repair and Calibration-Utensils and Temperature and Pressure Measuring Devices (C),2021-06-14 12:08:45,Fail,,HE_Fail,2021-06-14 12:08:45,Low temp dishwasher gauge reading 90F hot temp 130F.Repair gauge for accurate water temperature.
100252,590.004/4-502.11-PF,(B) Good Repair and Calibration (Pf),2021-12-01 10:57:06,Fail,,HE_Fail,2021-12-01 10:57:06,Condensor in walk-in freezer leaking and frost build up on shelving  repair
100253,590.004/4-502.12-P,Single-Service and Single-Use Articles  Required Use (P),2020-06-26 12:28:52,Fail,,HE_Fail,2020-06-26 12:28:52,Discontinue practices of self service maple syrup  ketchup  mustard and any other containers neing allowed on customer tables. Either individually packaged items are allowed or the wait staff can assist as discussed during inspection.
100254,590.004/4-502.13-C,Single-Service and Single-Use Articles-Use Limitations (C),2019-07-17 12:08:33,Fail,,HE_Fail,2019-07-17 12:08:33,Establishment using box eggplant came in for cut eggplant. Discontinue.
100255,590.004/4-601.11-C,(B) and (C) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils (C),2021-03-30 15:45:08,Fail,,HE_Fail,2021-03-30 15:45:08,Clean interior of all ice cream chest to remove spills.
